곡명,가수명,앨범명
Celebrity,아이유,Celebrity
밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
Dynamite,방탄소년단,Dynamite (DayTime Version)
VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),쇼미더머니 9 Episode 1
잠이 오질 않네요,장범준,잠이 오질 않네요
이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
Lovesick Girls,BLACKPINK,THE ALBUM
취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각)
힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
마음이 그래,개코,마음이 그래
I'm Not Cool,현아,I’m Not Cool
오래된 노래,스탠딩 에그,오래된 노래
Blueming,아이유,Love poem
Life Goes On,방탄소년단,BE
나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3
화(火花),(여자)아이들,I burn
내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix]
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
혼술하고 싶은 밤,벤,혼술하고 싶은 밤
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
사실 나는 (Feat.전건호),경서예지,사실 나는
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
술 한잔 해요,경서 (경서예지),술 한잔 해요
어떻게 지내 (Prod. By VAN.C),오반 (OVAN),어떻게 지내
When We Disco (Duet with 선미),박진영,When We Disco
METEOR,창모 (CHANGMO),Boyhood
How You Like That,BLACKPINK,How You Like That
그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
마음을 드려요,아이유,사랑의 불시착 OST Part 11
Dolphin,오마이걸 (OH MY GIRL),NONSTOP
아로하,조정석,슬기로운 의사생활 OST Part 3
2002,Anne-Marie,Speak Your Mind (Deluxe)
"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),쇼미더머니 9 Final
서면역에서,순순희,서면역에서
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
내 손을 잡아,아이유,최고의 사랑 OST Part.4
